case_id,route_id,trip_id,start_stop,end_stop,first_arrival,last_departure,duration_seconds,duration_label,event_count
FRG-1::169978-0,FRG-1,169978-0,PIMS,Barakahu,2026-04-23T06:20:00+05:00,2026-04-23T06:50:00+05:00,1800,30 min 0 sec,10
FRG-1::169979-0,FRG-1,169979-0,PIMS,Barakahu,2026-04-23T06:25:00+05:00,2026-04-23T06:55:00+05:00,1800,30 min 0 sec,10
FRG-1::169980-0,FRG-1,169980-0,PIMS,Barakahu,2026-04-23T06:30:00+05:00,2026-04-23T07:00:00+05:00,1800,30 min 0 sec,10
FRG-1::169981-0,FRG-1,169981-0,PIMS,Barakahu,2026-04-23T06:35:00+05:00,2026-04-23T07:05:00+05:00,1800,30 min 0 sec,10
FRG-1::169982-0,FRG-1,169982-0,PIMS,Barakahu,2026-04-23T06:40:00+05:00,2026-04-23T07:10:00+05:00,1800,30 min 0 sec,10
FRG-1::169983-0,FRG-1,169983-0,PIMS,Barakahu,2026-04-23T06:45:00+05:00,2026-04-23T07:15:00+05:00,1800,30 min 0 sec,10
FRG-1::169984-0,FRG-1,169984-0,PIMS,Barakahu,2026-04-23T06:50:00+05:00,2026-04-23T07:20:00+05:00,1800,30 min 0 sec,10
FRG-1::169985-0,FRG-1,169985-0,PIMS,Barakahu,2026-04-23T06:55:00+05:00,2026-04-23T07:25:00+05:00,1800,30 min 0 sec,10
FRG-1::169986-0,FRG-1,169986-0,PIMS,Barakahu,2026-04-23T07:00:00+05:00,2026-04-23T07:30:00+05:00,1800,30 min 0 sec,10
FRG-1::169987-0,FRG-1,169987-0,PIMS,Barakahu,2026-04-23T07:05:00+05:00,2026-04-23T07:35:00+05:00,1800,30 min 0 sec,10
FRG-1::169988-0,FRG-1,169988-0,PIMS,Barakahu,2026-04-23T07:10:00+05:00,2026-04-23T07:40:00+05:00,1800,30 min 0 sec,10
FRG-1::169989-0,FRG-1,169989-0,PIMS,Barakahu,2026-04-23T07:15:00+05:00,2026-04-23T07:45:00+05:00,1800,30 min 0 sec,10
