stop_name_normalized,stop_name,routes,route_count,first_seen_sequence,latitude,longitude,coordinate_quality,coordinate_note,google_latitude,google_longitude,verification_note
golra morh,Golra Morh,"FR-09, FR-10, FR-11",3,1,33.6475,73.0115,verified,Seed coordinate for key Islamabad stop.,,,
golra morh metro station,Golra Morh Metro Station,"FR-09, FR-11, FR-13",3,1,33.6475,73.0115,verified,Seed coordinate for key Islamabad stop.,,,
golra sharif f 11 3,Golra Sharif F-11/3,"FR-06, FR-10",2,10,33.693,72.99,verified,Seed coordinate for key Islamabad stop.,,,
golra sharif,Golra sharif,FR-06,1,26,33.6912,72.9734,verified,Seed coordinate for key Islamabad stop.,,,
graceland housing society,Graceland Housing Society,FR-13,1,16,33.601,72.795,verified,Seed coordinate for key Islamabad stop.,,,
green avenue,Green Avenue,"FR-08A, FR-08C, ST-02",3,14,33.672,73.151,verified,Seed coordinate for key Islamabad stop.,,,
gulberg,Gulberg,"FR-15, FRB-01",2,5,33.5936,73.1652,verified,Seed coordinate for key Islamabad stop.,,,
gulshan al huda community,Gulshan Al Huda Community,"FR-08A, FR-08C",2,19,33.664,73.153,verified,Seed coordinate for key Islamabad stop.,,,
gulshan e anwar,Gulshan e Anwar,FR-12,1,5,33.752,72.776,verified,Seed coordinate for key Islamabad stop.,,,
h 8,H-8,"FR-08C, FRB-01",2,4,33.668,73.058,verified,Seed coordinate for key Islamabad stop.,,,
hammad uddin road,Hammad Uddin Road,FR-10,1,6,33.624,73.089,verified,Seed coordinate for key Islamabad stop.,,,
hassan abdal,Hassan Abdal,FR-12,1,24,33.82,72.689,verified,Seed coordinate for key Islamabad stop.,,,
hattar,Hattar,FR-13,1,23,33.865,72.855,verified,Seed coordinate for key Islamabad stop.,,,
home of military transport,Home of Military Transport,FR-09,1,26,33.634,72.972,verified,Seed coordinate for key Islamabad stop.,,,
hostel city,Hostel City,"FR-08A, FR-08C, ST-02",3,16,33.665,73.164,verified,Seed coordinate for key Islamabad stop.,,,
i 14 markaz,I-14 Markaz,FR-11,1,8,33.614,72.972,verified,Seed coordinate for key Islamabad stop.,,,
i 14 1 park,I-14/1 Park,FR-11,1,9,33.612,72.968,verified,Seed coordinate for key Islamabad stop.,,,
icb college,ICB College,FR-04,1,14,33.712,73.064,verified,Seed coordinate for key Islamabad stop.,,,
iesco,IESCO,FR-01,1,12,33.6932,73.0648,verified,Seed coordinate for key Islamabad stop.,,,
iesco d 12,IESCO D-12,"FR-05, FR-10",2,12,33.698,72.946,verified,Seed coordinate for key Islamabad stop.,,,
ijp metro station,IJP Metro Station,"FR-09, FR-14",2,8,33.6548,73.0734,verified,Seed coordinate for key Islamabad stop.,,,
imc hospital,IMC Hospital,FR-01,1,7,33.6669,72.9961,verified,Seed coordinate for key Islamabad stop.,,,
imcb f10 4,IMCB F10/4,FR-06,1,18,33.696,73.008,verified,Seed coordinate for key Islamabad stop.,,,
imcg f 10 2,IMCG F-10/2,FR-06,1,19,33.702,73.004,verified,Seed coordinate for key Islamabad stop.,,,
imcg i 14 3,IMCG I-14/3,FR-11,1,6,33.608,72.965,verified,Seed coordinate for key Islamabad stop.,,,
itp driving license centre,ITP Driving License Centre,"FR-08C, FR-14",2,7,33.684,73.018,verified,Seed coordinate for key Islamabad stop.,,,
ibn e sina metro station,Ibn-e-Sina Metro Station,FR-06,1,3,33.678,73.038,verified,Seed coordinate for key Islamabad stop.,,,
institute of modern studies,Institute of Modern Studies,FR-07,1,17,33.6738,72.9985,verified,Seed coordinate for key Islamabad stop.,,,
iqbal hall,Iqbal Hall,FR-04,1,8,33.658,73.024,verified,Seed coordinate for key Islamabad stop.,,,
iqbal town,Iqbal Town,"FR-09, FRB-01",2,4,33.6455,73.1022,verified,Seed coordinate for key Islamabad stop.,,,
